name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Malaysia,MYS,MYR,5.5,3.502,,1/1/07
Mexico,MEX,MXN,29,10.8894,,1/1/07
New Zealand,NZL,NZD,4.6,1.42796,,1/1/07
Norway,NOR,NOK,41.5,6.1023,,1/1/07
Pakistan,PAK,PKR,140,60.055,,1/1/07
Peru,PER,PEN,9.5,3.1895,,1/1/07
Philippines,PHL,PHP,85,49.05,,1/1/07
Poland,POL,PLN,6.9,2.97175,,1/1/07
Russia,RUS,RUB,49,26.5335,,1/1/07
Saudi Arabia,SAU,SAR,9,3.749,,1/1/07
Singapore,SGP,SGD,3.6,1.53795,,1/1/07
South Africa,ZAF,ZAR,15.5,7.10975,,1/1/07
South Korea,KOR,KRW,2900,940.15,,1/1/07
Sri Lanka,LKA,LKR,190,102.955,,1/1/07
Sweden,SWE,SEK,32,7.04125,,1/1/07
Switzerland,CHE,CHF,6.3,1.2485,,1/1/07
Taiwan,TWN,TWD,75,32.9255,,1/1/07
Thailand,THA,THB,62,35.3,,1/1/07
Turkey,TUR,TRY,4.55,1.40975,,1/1/07
UAE,ARE,AED,10,3.6726,,1/1/07
Ukraine,UKR,UAH,9,5.05,,1/1/07
United States,USA,USD,3.22,1,,1/1/07
Uruguay,URY,UYU,55,23.925,,1/1/07
Venezuela,VEN,VEF,6800,4125.278,,1/1/07
Argentina,ARG,ARS,8.25,3.0915,,6/1/07
Australia,AUS,AUD,3.45,1.17,,6/1/07
Brazil,BRA,BRL,6.9,1.913,,6/1/07
Britain,GBR,GBP,1.99,0.496610632,,6/1/07
Canada,CAN,CAD,3.88,1.05345,,6/1/07
Chile,CHL,CLP,1565,526.75,,6/1/07
China,CHN,CNY,11,7.6047,,6/1/07
Colombia,COL,COP,6900,1956,,6/1/07
Costa Rica,CRI,CRC,1130,518.625,,6/1/07
Czech Republic,CZE,CZK,52.9,21.11675,,6/1/07
Denmark,DNK,DKK,27.75,5.4603,,6/1/07
Egypt,EGY,EGP,9.54,5.69025,,6/1/07
Euro area,EUZ,EUR,3.057482443,0.733756466,,6/1/07
Hong Kong,HKG,HKD,12,7.81555,,6/1/07
Hungary,HUN,HUF,600,180.2106,,6/1/07
Indonesia,IDN,IDR,15900,9015,,6/1/07
Japan,JPN,JPY,280,122.315,,6/1/07
Malaysia,MYS,MYR,5.5,3.4345,,6/1/07
Mexico,MEX,MXN,29,10.76755,,6/1/07
New Zealand,NZL,NZD,4.6,1.2797,,6/1/07
Norway,NOR,NOK,40,5.8139,,6/1/07
Pakistan,PAK,PKR,140,60.37,,6/1/07
Peru,PER,PEN,9.5,3.167,,6/1/07
Philippines,PHL,PHP,85,45.8975,,6/1/07
Poland,POL,PLN,6.9,2.75185,,6/1/07
Russia,RUS,RUB,52,25.64825,,6/1/07
Saudi Arabia,SAU,SAR,9,3.75045,,6/1/07
Singapore,SGP,SGD,3.95,1.52375,,6/1/07
South Africa,ZAF,ZAR,15.5,6.971,,6/1/07
South Korea,KOR,KRW,2900,922.5,,6/1/07
Sri Lanka,LKA,LKR,210,111.4,,6/1/07
Sweden,SWE,SEK,33,6.79165,,6/1/07
Switzerland,CHE,CHF,6.3,1.2112,,6/1/07
Taiwan,TWN,TWD,75,32.7705,,6/1/07
Thailand,THA,THB,62,34.455,,6/1/07
Turkey,TUR,TRY,4.75,1.2981,,6/1/07
UAE,ARE,AED,10,3.67285,,6/1/07
Ukraine,UKR,UAH,9.25,5.0275,,6/1/07
United States,USA,USD,3.41,1,,6/1/07
Uruguay,URY,UYU,62,23.945,,6/1/07
Venezuela,VEN,VEF,7400,2147.3,,6/1/07
Argentina,ARG,ARS,11,3.0195,,6/1/08
Australia,AUS,AUD,3.45,1.026,,6/1/08
Brazil,BRA,BRL,7.5,1.5846,,6/1/08
Britain,GBR,GBP,2.29,0.501039657,,6/1/08
Canada,CAN,CAD,4.09,1.00355,,6/1/08
Chile,CHL,CLP,1550,494.65,,6/1/08
China,CHN,CNY,12.5,6.834,,6/1/08
Colombia,COL,COP,7000,1798.65,,6/1/08
Costa Rica,CRI,CRC,1800,551.02,,6/1/08
Czech Republic,CZE,CZK,66.08,14.49795,,6/1/08
Denmark,DNK,DKK,28,4.7044,,6/1/08
Egypt,EGY,EGP,13,5.3125,,6/1/08
Euro area,EUZ,EUR,3.36856,0.630497147,,6/1/08
Hong Kong,HKG,HKD,13.3,7.7974,,6/1/08
Hungary,HUN,HUF,670,144.2578,,6/1/08
Indonesia,IDN,IDR,18700,9152,,6/1/08
Japan,JPN,JPY,280,106.855,,6/1/08
Malaysia,MYS,MYR,5.5,3.238,,6/1/08
Mexico,MEX,MXN,32,10.1685,,6/1/08
New Zealand,NZL,NZD,4.9,1.3177,,6/1/08
Norway,NOR,NOK,40,5.07915,,6/1/08
Pakistan,PAK,PKR,140,70.9,,6/1/08
Peru,PER,PEN,9.5,2.84,,6/1/08
Philippines,PHL,PHP,87,44.485,,6/1/08
Poland,POL,PLN,7,2.03145,,6/1/08
Russia,RUS,RUB,59,23.2336,,6/1/08
Saudi Arabia,SAU,SAR,10,3.74955,,6/1/08
Singapore,SGP,SGD,3.95,1.35275,,6/1/08
